date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
20:24:18	13482/13482	---MCZ	200	added ('OK')	application/javascript	etag:W/%22ccd5017ba34be74c08ec59f31cab077d%22	https://ai-tool.nextjstemplates.com/_next/static/chunks/413-97124db4ebcbf279.js?dpl=dpl_23d1Zb521Cs1aAnbjs9SMCzuyLTa	C:/Github/teste/ai-tool.nextjstemplates.com/_next/static/chunks/413-97124db4ebcbf27956e9.js	(from https://ai-tool.nextjstemplates.com/)
20:24:19	40238/40238	---MCZ	200	added ('OK')	application/javascript	etag:W/%2260e93dc4af31cf653d5374eec9722e4a%22	https://ai-tool.nextjstemplates.com/_next/static/chunks/1324-ed03bed52bd5b63c.js?dpl=dpl_23d1Zb521Cs1aAnbjs9SMCzuyLTa	C:/Github/teste/ai-tool.nextjstemplates.com/_next/static/chunks/1324-ed03bed52bd5b63c56e9.js	(from https://ai-tool.nextjstemplates.com/)
20:24:19	25316/25316	---MCZ	200	added ('OK')	application/javascript	etag:W/%22f8e249185d82bb75d2da3b859d9810af%22	https://ai-tool.nextjstemplates.com/_next/static/chunks/app/(site)/layout-e98e52e9a8074b09.js?dpl=dpl_23d1Zb521Cs1aAnbjs9SMCzuyLTa	C:/Github/teste/ai-tool.nextjstemplates.com/_next/static/chunks/app/(site)/layout-e98e52e9a8074b0956e9.js	(from https://ai-tool.nextjstemplates.com/)
20:24:19	25553/25553	---MCZ	200	added ('OK')	application/javascript	etag:W/%220bc00e2fd5c74e3a5d35fa560fbf5a81%22	https://ai-tool.nextjstemplates.com/_next/static/chunks/4908-348be032bfc7395c.js?dpl=dpl_23d1Zb521Cs1aAnbjs9SMCzuyLTa	C:/Github/teste/ai-tool.nextjstemplates.com/_next/static/chunks/4908-348be032bfc7395c56e9.js	(from https://ai-tool.nextjstemplates.com/)
20:24:20	31338/31338	---MCZ	200	added ('OK')	application/javascript	etag:W/%22350d65b2f53b257fe79bca8616f83fec%22	https://ai-tool.nextjstemplates.com/_next/static/chunks/9222-ae95c5031ac4cd61.js?dpl=dpl_23d1Zb521Cs1aAnbjs9SMCzuyLTa	C:/Github/teste/ai-tool.nextjstemplates.com/_next/static/chunks/9222-ae95c5031ac4cd6156e9.js	(from https://ai-tool.nextjstemplates.com/)
20:24:20	80978/80978	---MCZ	200	added ('OK')	application/javascript	etag:W/%229a2250514e5065b29487109146f99e5e%22	https://ai-tool.nextjstemplates.com/_next/static/chunks/9310-b5b543b63f574c4e.js?dpl=dpl_23d1Zb521Cs1aAnbjs9SMCzuyLTa	C:/Github/teste/ai-tool.nextjstemplates.com/_next/static/chunks/9310-b5b543b63f574c4e56e9.js	(from https://ai-tool.nextjstemplates.com/)
20:24:20	13305/13305	---MCZ	200	added ('OK')	application/javascript	etag:W/%22aee126789ca5cbf5987d831396372025%22	https://ai-tool.nextjstemplates.com/_next/static/chunks/5187-491b68da4259dbd4.js?dpl=dpl_23d1Zb521Cs1aAnbjs9SMCzuyLTa	C:/Github/teste/ai-tool.nextjstemplates.com/_next/static/chunks/5187-491b68da4259dbd456e9.js	(from https://ai-tool.nextjstemplates.com/)
20:24:21	7611/7611	---MCZ	200	added ('OK')	application/javascript	etag:W/%22d9922105f987a3e5452739dfd9d6cd9f%22	https://ai-tool.nextjstemplates.com/_next/static/chunks/app/(site)/page-0a2e967cd5f257c8.js?dpl=dpl_23d1Zb521Cs1aAnbjs9SMCzuyLTa	C:/Github/teste/ai-tool.nextjstemplates.com/_next/static/chunks/app/(site)/page-0a2e967cd5f257c856e9.js	(from https://ai-tool.nextjstemplates.com/)
20:24:21	15406/15406	---MCZ	200	added ('OK')	image/x-icon	etag:W/%2257c5dbc504a3b371497a4107e814bff1%22	https://ai-tool.nextjstemplates.com/favicon.ico	C:/Github/teste/ai-tool.nextjstemplates.com/favicon.ico	(from https://ai-tool.nextjstemplates.com/)
20:24:22	91460/91460	---MCZ	200	added ('OK')	application/javascript	etag:W/%22837c0df77fd5009c9e46d446188ecfd0%22	https://ai-tool.nextjstemplates.com/_next/static/chunks/polyfills-c67a75d1b6f99dc8.js	C:/Github/teste/ai-tool.nextjstemplates.com/_next/static/chunks/polyfills-c67a75d1b6f99dc8.js	(from https://ai-tool.nextjstemplates.com/)
20:24:22	3063/3063	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%22abd6fd78404ad343a9be89e13efe3515%22	https://ai-tool.nextjstemplates.com/_next/static/media/logo.9f5a9c3a.svg	C:/Github/teste/ai-tool.nextjstemplates.com/_next/static/media/logo.9f5a9c3a.svg	(from https://ai-tool.nextjstemplates.com/)
20:24:23	199221/199221	---MCZ	200	added ('OK')	text/html	etag:W/%22231865c85718a4d0af00a0e28c7a0a7f%22	https://ai-tool.nextjstemplates.com/about	C:/Github/teste/ai-tool.nextjstemplates.com/about.html	(from https://ai-tool.nextjstemplates.com/)
20:24:24	86825/86825	---MCZ	200	added ('OK')	text/html	etag:W/%22786c669d42323bfe345bd8a00d12aa9b%22	https://ai-tool.nextjstemplates.com/blog	C:/Github/teste/ai-tool.nextjstemplates.com/blog.html	(from https://ai-tool.nextjstemplates.com/)
20:24:24	26269/26269	---MCZ	200	added ('OK')	text/html	etag:W/%2253c5e53c0d870e7e270862fe13ccb7fe%22	https://ai-tool.nextjstemplates.com/docs	C:/Github/teste/ai-tool.nextjstemplates.com/docs.html	(from https://ai-tool.nextjstemplates.com/)
20:24:25	76704/76704	---MCZ	200	added ('OK')	text/html	etag:W/%22204e21bd576d64a54a3d885b6498bb32%22	https://ai-tool.nextjstemplates.com/pricing	C:/Github/teste/ai-tool.nextjstemplates.com/pricing.html	(from https://ai-tool.nextjstemplates.com/)
20:24:25	35715/35715	---MCZ	200	added ('OK')	text/html	etag:W/%22b62140d6fd3f8766c08b3f9b42a1233f%22	https://ai-tool.nextjstemplates.com/auth/signin	C:/Github/teste/ai-tool.nextjstemplates.com/auth/signin.html	(from https://ai-tool.nextjstemplates.com/)
20:24:26	36437/36437	---MCZ	200	added ('OK')	text/html	etag:W/%228c4448de063c77b9f5bdfb902ee97a06%22	https://ai-tool.nextjstemplates.com/auth/signup	C:/Github/teste/ai-tool.nextjstemplates.com/auth/signup.html	(from https://ai-tool.nextjstemplates.com/)
20:24:26	27329/27329	---MCZ	200	added ('OK')	text/html	etag:W/%22424a7e19eb70285457fcb18d57d5dbda%22	https://ai-tool.nextjstemplates.com/error	C:/Github/teste/ai-tool.nextjstemplates.com/error.html	(from https://ai-tool.nextjstemplates.com/)
20:24:27	30088/30088	---MCZ	200	added ('OK')	text/html	etag:W/%22f4f09b7c71fa8a77d045867b98f61b7c%22	https://ai-tool.nextjstemplates.com/ai-examples	C:/Github/teste/ai-tool.nextjstemplates.com/ai-examples.html	(from https://ai-tool.nextjstemplates.com/)
20:24:27	28580/28580	---MCZ	200	added ('OK')	text/html	etag:W/%227790b86ab93e42c16bde208f543df883%22	https://ai-tool.nextjstemplates.com/ai-examples/content-writing-tool	C:/Github/teste/ai-tool.nextjstemplates.com/ai-examples/content-writing-tool.html	(from https://ai-tool.nextjstemplates.com/)
20:24:28	28444/28444	---MCZ	200	added ('OK')	text/html	etag:W/%22f2728dcaf846b25ef45da05875ae08e4%22	https://ai-tool.nextjstemplates.com/ai-examples/business-name-generator	C:/Github/teste/ai-tool.nextjstemplates.com/ai-examples/business-name-generator.html	(from https://ai-tool.nextjstemplates.com/)
20:24:29	28036/28036	---MCZ	200	added ('OK')	text/html	etag:W/%22f9a9d6d0096b81dd46929e860ce5948c%22	https://ai-tool.nextjstemplates.com/ai-examples/product-name-generator	C:/Github/teste/ai-tool.nextjstemplates.com/ai-examples/product-name-generator.html	(from https://ai-tool.nextjstemplates.com/)
20:24:29	28197/28197	---MCZ	200	added ('OK')	text/html	etag:W/%22909a6cc15a1b5e98ce3c58c6a85c5889%22	https://ai-tool.nextjstemplates.com/ai-examples/article-title-generator	C:/Github/teste/ai-tool.nextjstemplates.com/ai-examples/article-title-generator.html	(from https://ai-tool.nextjstemplates.com/)
20:24:30	27757/27757	---MCZ	200	added ('OK')	text/html	etag:W/%229329818385dac5ea4ae84574ba4da3e1%22	https://ai-tool.nextjstemplates.com/ai-examples/spreadsheet-generator	C:/Github/teste/ai-tool.nextjstemplates.com/ai-examples/spreadsheet-generator.html	(from https://ai-tool.nextjstemplates.com/)
20:24:30	27806/27806	---MCZ	200	added ('OK')	text/html	etag:W/%2238cd89791e60358eadfef49496236699%22	https://ai-tool.nextjstemplates.com/ai-examples/interview-question-generator	C:/Github/teste/ai-tool.nextjstemplates.com/ai-examples/interview-question-generator.html	(from https://ai-tool.nextjstemplates.com/)
20:24:30	602/602	---M--	200	added ('OK')	image/svg+xml	etag:%22b39bce37651358babdf3b8da9eb25869%22	https://ai-tool.nextjstemplates.com/images/blur/blur-02.svg	C:/Github/teste/ai-tool.nextjstemplates.com/images/blur/blur-02.svg	(from https://ai-tool.nextjstemplates.com/)
20:24:31	4350/4350	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%22076338fb10cd2291821e516824d061b0%22	https://ai-tool.nextjstemplates.com/images/hero/icon-title.svg	C:/Github/teste/ai-tool.nextjstemplates.com/images/hero/icon-title.svg	(from https://ai-tool.nextjstemplates.com/)
20:24:31	8855/8855	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%222a2a0d10e4b9a075647674766d5ea7df%22	https://ai-tool.nextjstemplates.com/images/hero/hero.svg	C:/Github/teste/ai-tool.nextjstemplates.com/images/hero/hero.svg	(from https://ai-tool.nextjstemplates.com/)
20:24:31	1394/1394	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%22417f084bbadbf235a88732a5e564b73a%22	https://ai-tool.nextjstemplates.com/images/features/icon-01.svg	C:/Github/teste/ai-tool.nextjstemplates.com/images/features/icon-01.svg	(from https://ai-tool.nextjstemplates.com/)
20:24:32	2003/2003	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%22e8287c0d4fbefff2728f144fddc01e0d%22	https://ai-tool.nextjstemplates.com/images/features/icon-02.svg	C:/Github/teste/ai-tool.nextjstemplates.com/images/features/icon-02.svg	(from https://ai-tool.nextjstemplates.com/)
20:24:32	2185/2185	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%2264ab79063bb6d700f696ab00f37ab8b0%22	https://ai-tool.nextjstemplates.com/images/features/icon-03.svg	C:/Github/teste/ai-tool.nextjstemplates.com/images/features/icon-03.svg	(from https://ai-tool.nextjstemplates.com/)
20:24:32	3350/3350	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%2227abed60a2d4374aca1ae88a7b26dff5%22	https://ai-tool.nextjstemplates.com/images/features/icon-04.svg	C:/Github/teste/ai-tool.nextjstemplates.com/images/features/icon-04.svg	(from https://ai-tool.nextjstemplates.com/)
20:24:33	2910/2910	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%22cad285b8f895d4cd2c07752c7164e043%22	https://ai-tool.nextjstemplates.com/images/features/icon-05.svg	C:/Github/teste/ai-tool.nextjstemplates.com/images/features/icon-05.svg	(from https://ai-tool.nextjstemplates.com/)
20:24:33	2253/2253	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%221b5ac7157393c8328e5f78cfaacf9cc5%22	https://ai-tool.nextjstemplates.com/images/features/icon-06.svg	C:/Github/teste/ai-tool.nextjstemplates.com/images/features/icon-06.svg	(from https://ai-tool.nextjstemplates.com/)
20:24:33	7196/7196	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%223d1229a65fb4abc65e5d903e091382b3%22	https://ai-tool.nextjstemplates.com/images/features/big-icon.svg	C:/Github/teste/ai-tool.nextjstemplates.com/images/features/big-icon.svg	(from https://ai-tool.nextjstemplates.com/)
20:24:34	9151/9151	---M--	200	added ('OK')	image/png	date:Thu,%2019%20Sep%202024%2007:23:18%20GMT	https://ai-tool.nextjstemplates.com/_next/image?url=%2Fimages%2Ffeatures%2Fshape-01.png&w=640&q=75	C:/Github/teste/ai-tool.nextjstemplates.com/_next/shape-01944a.png	(from https://ai-tool.nextjstemplates.com/)
20:24:34	45575/45575	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%22cefd6c035012b68a2e3af8756171230f%22	https://ai-tool.nextjstemplates.com/images/features/shape-02.svg	C:/Github/teste/ai-tool.nextjstemplates.com/images/features/shape-02.svg	(from https://ai-tool.nextjstemplates.com/)
20:24:34	604/604	---M--	200	added ('OK')	image/svg+xml	etag:%2297b170039289eb40dd82678f1b6b3cdd%22	https://ai-tool.nextjstemplates.com/images/blur/blur-03.svg	C:/Github/teste/ai-tool.nextjstemplates.com/images/blur/blur-03.svg	(from https://ai-tool.nextjstemplates.com/)
20:24:35	598/598	---M--	200	added ('OK')	image/svg+xml	etag:%2246c40dc51bab9b8a1fc672448054dc06%22	https://ai-tool.nextjstemplates.com/images/blur/blur-04.svg	C:/Github/teste/ai-tool.nextjstemplates.com/images/blur/blur-04.svg	(from https://ai-tool.nextjstemplates.com/)
20:24:35	592/592	---M--	200	added ('OK')	image/svg+xml	etag:%2244bef544b14ce46a5eeed4bbbec4021f%22	https://ai-tool.nextjstemplates.com/images/blur/blur-05.svg	C:/Github/teste/ai-tool.nextjstemplates.com/images/blur/blur-05.svg	(from https://ai-tool.nextjstemplates.com/)
20:24:35	909/909	---M--	200	added ('OK')	image/svg+xml	etag:%22224cd4d2704c50de19381f866ed17d8a%22	https://ai-tool.nextjstemplates.com/images/features/shape-03.svg	C:/Github/teste/ai-tool.nextjstemplates.com/images/features/shape-03.svg	(from https://ai-tool.nextjstemplates.com/)
20:24:36	978/978	---M--	200	added ('OK')	image/svg+xml	etag:%22c7c17ed17f6d220b79faa01a3a6d47f6%22	https://ai-tool.nextjstemplates.com/images/features/shape-04.svg	C:/Github/teste/ai-tool.nextjstemplates.com/images/features/shape-04.svg	(from https://ai-tool.nextjstemplates.com/)
20:24:36	605/605	---M--	200	added ('OK')	image/svg+xml	etag:%220fd9599bea2ac46a316b03923f92ec49%22	https://ai-tool.nextjstemplates.com/images/blur/blur-08.svg	C:/Github/teste/ai-tool.nextjstemplates.com/images/blur/blur-08.svg	(from https://ai-tool.nextjstemplates.com/)
20:24:36	607/607	---M--	200	added ('OK')	image/svg+xml	etag:%226589accb62c5c71fe99fa9aaa89eaf4e%22	https://ai-tool.nextjstemplates.com/images/blur/blur-09.svg	C:/Github/teste/ai-tool.nextjstemplates.com/images/blur/blur-09.svg	(from https://ai-tool.nextjstemplates.com/)
20:24:37	1776/1776	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%22d093283acf163525fde40ab8c6c2490a%22	https://ai-tool.nextjstemplates.com/images/features/icon-07.svg	C:/Github/teste/ai-tool.nextjstemplates.com/images/features/icon-07.svg	(from https://ai-tool.nextjstemplates.com/)
20:24:37	978/978	---M--	200	added ('OK')	image/svg+xml	etag:%2247d6f2e1134a490897e11f5e5fc676fc%22	https://ai-tool.nextjstemplates.com/images/features/shape-05.svg	C:/Github/teste/ai-tool.nextjstemplates.com/images/features/shape-05.svg	(from https://ai-tool.nextjstemplates.com/)
20:24:37	603/603	---M--	200	added ('OK')	image/svg+xml	etag:%222ff6f5aecb44dfb1eb358bac7d62a793%22	https://ai-tool.nextjstemplates.com/images/blur/blur-11.svg	C:/Github/teste/ai-tool.nextjstemplates.com/images/blur/blur-11.svg	(from https://ai-tool.nextjstemplates.com/)
20:24:38	607/607	---M--	200	added ('OK')	image/svg+xml	etag:%22a12a3e63ba54b3807225f9b9bfd830fc%22	https://ai-tool.nextjstemplates.com/images/blur/blur-12.svg	C:/Github/teste/ai-tool.nextjstemplates.com/images/blur/blur-12.svg	(from https://ai-tool.nextjstemplates.com/)
20:24:38	600/600	---M--	200	added ('OK')	image/svg+xml	etag:%22c239eac7b55696934a2342456516e488%22	https://ai-tool.nextjstemplates.com/images/blur/blur-13.svg	C:/Github/teste/ai-tool.nextjstemplates.com/images/blur/blur-13.svg	(from https://ai-tool.nextjstemplates.com/)
20:24:38	593/593	---M--	200	added ('OK')	image/svg+xml	etag:%22d7020e6a0c192a12e1b1be905c5504e5%22	https://ai-tool.nextjstemplates.com/images/blur/blur-14.svg	C:/Github/teste/ai-tool.nextjstemplates.com/images/blur/blur-14.svg	(from https://ai-tool.nextjstemplates.com/)
20:24:39	592/592	---M--	200	added ('OK')	image/svg+xml	etag:%228151c85e36dbde135676423c51e4da8b%22	https://ai-tool.nextjstemplates.com/images/blur/blur-15.svg	C:/Github/teste/ai-tool.nextjstemplates.com/images/blur/blur-15.svg	(from https://ai-tool.nextjstemplates.com/)
20:24:39	1336/1336	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%224502b3db9da7ad64203cd58052370006%22	https://ai-tool.nextjstemplates.com/images/pricing/pricing-icon-01.svg	C:/Github/teste/ai-tool.nextjstemplates.com/images/pricing/pricing-icon-01.svg	(from https://ai-tool.nextjstemplates.com/)
20:24:39	597/597	---M--	200	added ('OK')	image/svg+xml	etag:%223e76e292089d5801c43f27ceb47c057f%22	https://ai-tool.nextjstemplates.com/images/blur/blur-16.svg	C:/Github/teste/ai-tool.nextjstemplates.com/images/blur/blur-16.svg	(from https://ai-tool.nextjstemplates.com/)
20:24:40	602/602	---M--	200	added ('OK')	image/svg+xml	etag:%2248c8ef12a60dd80350aeba17aaebe48a%22	https://ai-tool.nextjstemplates.com/images/blur/blur-17.svg	C:/Github/teste/ai-tool.nextjstemplates.com/images/blur/blur-17.svg	(from https://ai-tool.nextjstemplates.com/)
20:24:40	2136/2136	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%224984cb7748f6071b13ff9b7b8610e09c%22	https://ai-tool.nextjstemplates.com/images/pricing/pricing-icon-02.svg	C:/Github/teste/ai-tool.nextjstemplates.com/images/pricing/pricing-icon-02.svg	(from https://ai-tool.nextjstemplates.com/)
20:24:40	758/758	---M--	200	added ('OK')	image/svg+xml	etag:%22d1f08beddfbc44227440c955aa2e925f%22	https://ai-tool.nextjstemplates.com/images/pricing/pricing-icon-03.svg	C:/Github/teste/ai-tool.nextjstemplates.com/images/pricing/pricing-icon-03.svg	(from https://ai-tool.nextjstemplates.com/)
20:24:41	2327/2327	---M--	200	added ('OK')	image/png	date:Fri,%2020%20Sep%202024%2003:30:30%20GMT	https://ai-tool.nextjstemplates.com/_next/image?url=%2Fimages%2Fuser%2Fuser-01.png&w=96&q=75	C:/Github/teste/ai-tool.nextjstemplates.com/_next/user-01b3aa.png	(from https://ai-tool.nextjstemplates.com/)
20:24:41	2734/2734	---M--	200	added ('OK')	image/png	date:Fri,%2020%20Sep%202024%2003:30:20%20GMT	https://ai-tool.nextjstemplates.com/_next/image?url=%2Fimages%2Fuser%2Fuser-02.png&w=96&q=75	C:/Github/teste/ai-tool.nextjstemplates.com/_next/user-02c34c.png	(from https://ai-tool.nextjstemplates.com/)
20:24:41	2449/2449	---M--	200	added ('OK')	image/png	date:Fri,%2020%20Sep%202024%2003:30:18%20GMT	https://ai-tool.nextjstemplates.com/_next/image?url=%2Fimages%2Fuser%2Fuser-03.png&w=96&q=75	C:/Github/teste/ai-tool.nextjstemplates.com/_next/user-03dfd2.png	(from https://ai-tool.nextjstemplates.com/)
20:24:42	2779/2779	---M--	200	added ('OK')	image/png	date:Fri,%2020%20Sep%202024%2003:30:06%20GMT	https://ai-tool.nextjstemplates.com/_next/image?url=%2Fimages%2Fuser%2Fuser-04.png&w=96&q=75	C:/Github/teste/ai-tool.nextjstemplates.com/_next/user-04296f.png	(from https://ai-tool.nextjstemplates.com/)
20:24:42	2807/2807	---M--	200	added ('OK')	image/png	date:Fri,%2020%20Sep%202024%2003:30:26%20GMT	https://ai-tool.nextjstemplates.com/_next/image?url=%2Fimages%2Fuser%2Fuser-05.png&w=96&q=75	C:/Github/teste/ai-tool.nextjstemplates.com/_next/user-05b78b.png	(from https://ai-tool.nextjstemplates.com/)
20:24:43	2545/2545	---M--	200	added ('OK')	image/png	date:Fri,%2020%20Sep%202024%2003:30:34%20GMT	https://ai-tool.nextjstemplates.com/_next/image?url=%2Fimages%2Fuser%2Fuser-06.png&w=96&q=75	C:/Github/teste/ai-tool.nextjstemplates.com/_next/user-067b0d.png	(from https://ai-tool.nextjstemplates.com/)
20:24:43	2250/2250	---M--	200	added ('OK')	image/png	date:Fri,%2020%20Sep%202024%2003:30:07%20GMT	https://ai-tool.nextjstemplates.com/_next/image?url=%2Fimages%2Fuser%2Fuser-07.png&w=96&q=75	C:/Github/teste/ai-tool.nextjstemplates.com/_next/user-0728e7.png	(from https://ai-tool.nextjstemplates.com/)
20:24:43	1920/1920	---M--	200	added ('OK')	image/png	date:Fri,%2020%20Sep%202024%2003:30:07%20GMT	https://ai-tool.nextjstemplates.com/_next/image?url=%2Fimages%2Fuser%2Fuser-08.png&w=96&q=75	C:/Github/teste/ai-tool.nextjstemplates.com/_next/user-08fb52.png	(from https://ai-tool.nextjstemplates.com/)
20:24:43	1610/1610	---M--	200	added ('OK')	image/png	date:Fri,%2020%20Sep%202024%2003:29:51%20GMT	https://ai-tool.nextjstemplates.com/_next/image?url=%2Fimages%2Fuser%2Fuser-09.png&w=96&q=75	C:/Github/teste/ai-tool.nextjstemplates.com/_next/user-094e75.png	(from https://ai-tool.nextjstemplates.com/)
20:24:44	4211/4211	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%2248eb6a6498b6851b586885447561ddeb%22	https://ai-tool.nextjstemplates.com/images/clients/client-01.svg	C:/Github/teste/ai-tool.nextjstemplates.com/images/clients/client-01.svg	(from https://ai-tool.nextjstemplates.com/)
20:24:44	10493/10493	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%2213c6713473753f196725905e38e8c06d%22	https://ai-tool.nextjstemplates.com/images/clients/client-02.svg	C:/Github/teste/ai-tool.nextjstemplates.com/images/clients/client-02.svg	(from https://ai-tool.nextjstemplates.com/)
20:24:44	5567/5567	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%22191f41d630839b7199ddd405cbcf1a7d%22	https://ai-tool.nextjstemplates.com/images/clients/client-03.svg	C:/Github/teste/ai-tool.nextjstemplates.com/images/clients/client-03.svg	(from https://ai-tool.nextjstemplates.com/)
20:24:45	7006/7006	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%22503dc99c9133e9933e7831c142cca40f%22	https://ai-tool.nextjstemplates.com/images/clients/client-04.svg	C:/Github/teste/ai-tool.nextjstemplates.com/images/clients/client-04.svg	(from https://ai-tool.nextjstemplates.com/)
20:24:45	3257/3257	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%226234ce0f97788c63c40b9ee0650f565b%22	https://ai-tool.nextjstemplates.com/images/clients/client-05.svg	C:/Github/teste/ai-tool.nextjstemplates.com/images/clients/client-05.svg	(from https://ai-tool.nextjstemplates.com/)
20:24:45	270925/270925	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%225ac31750448ebf9196ce16692d14c19b%22	https://ai-tool.nextjstemplates.com/images/clients/client-06.svg	C:/Github/teste/ai-tool.nextjstemplates.com/images/clients/client-06.svg	(from https://ai-tool.nextjstemplates.com/)
20:24:46	5486/5486	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%229499fa86e8b6be95c6359884fbad8f2d%22	https://ai-tool.nextjstemplates.com/images/clients/client-07.svg	C:/Github/teste/ai-tool.nextjstemplates.com/images/clients/client-07.svg	(from https://ai-tool.nextjstemplates.com/)
20:24:46	603/603	---M--	200	added ('OK')	image/svg+xml	etag:%22423110bf472a72aa4877e34129758b05%22	https://ai-tool.nextjstemplates.com/images/blur/blur-20.svg	C:/Github/teste/ai-tool.nextjstemplates.com/images/blur/blur-20.svg	(from https://ai-tool.nextjstemplates.com/)
20:24:46	595/595	---M--	200	added ('OK')	image/svg+xml	etag:%22d2b5fff9346eb1bee5fe4cdc74104b17%22	https://ai-tool.nextjstemplates.com/images/blur/blur-21.svg	C:/Github/teste/ai-tool.nextjstemplates.com/images/blur/blur-21.svg	(from https://ai-tool.nextjstemplates.com/)
